Date : 2025-03-31 10:33:52
Directory : d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo
Total : 91 files,  16768 codes, 168 comments, 613 blanks, all 17549 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          6 |      8,936 |          0 |          6 |      8,942 |
| JavaScript JSX |         54 |      6,615 |        125 |        435 |      7,175 |
| JavaScript     |         18 |      1,035 |         43 |        135 |      1,213 |
| CSS            |          4 |        136 |          0 |         21 |        157 |
| HTML           |          2 |         26 |          0 |          3 |         29 |
| Markdown       |          3 |         16 |          0 |         13 |         29 |
| XML            |          4 |          4 |          0 |          0 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |         91 |     16,768 |        168 |        613 |     17,549 |
| . (Files)                                                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| admin                                                                                                                                      |         12 |      2,943 |          1 |         33 |      2,977 |
| admin (Files)                                                                                                                              |          6 |      2,802 |          1 |         13 |      2,816 |
| admin\public                                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| admin\src                                                                                                                                  |          5 |        140 |          0 |         20 |        160 |
| admin\src (Files)                                                                                                                          |          4 |        139 |          0 |         20 |        159 |
| admin\src\assets                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| backend                                                                                                                                    |         15 |      3,305 |         42 |        128 |      3,475 |
| backend (Files)                                                                                                                            |          3 |      2,376 |          3 |          8 |      2,387 |
| backend\config                                                                                                                             |          1 |         15 |          0 |          2 |         17 |
| backend\models                                                                                                                             |         10 |        158 |          1 |         20 |        179 |
| backend\routes                                                                                                                             |          1 |        756 |         38 |         98 |        892 |
| frontend                                                                                                                                   |         63 |     10,518 |        125 |        451 |     11,094 |
| frontend (Files)                                                                                                                           |          7 |      3,904 |          0 |         15 |      3,919 |
| frontend\public                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| frontend\src                                                                                                                               |         55 |      6,613 |        125 |        436 |      7,174 |
| frontend\src (Files)                                                                                                                       |          4 |        294 |          3 |         20 |        317 |
| frontend\src\assets                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| frontend\src\components                                                                                                                    |          9 |      1,241 |         34 |         79 |      1,354 |
| frontend\src\pages                                                                                                                         |         41 |      5,077 |         88 |        337 |      5,502 |
| frontend\src\pages (Files)                                                                                                                 |         12 |      1,793 |         44 |        119 |      1,956 |
